1.e-7	6.777875187698917e-12	2.393688376874681e-12	1.6455306824801742e-12	1.6455822065469358e-12
1.0232929922807536e-7	6.325481169185234e-12	2.2948545589462235e-12	1.5727657583102368e-12	1.5728185071886823e-12
1.0471285480508985e-7	5.903282505752508e-12	2.198627909739531e-12	1.502132007620669e-12	1.5021859709396824e-12
1.0715193052376071e-7	5.5092637873131404e-12	2.105060067265847e-12	1.4336528220978258e-12	1.4337079881822774e-12
1.0964781961431852e-7	5.141544123735115e-12	2.0141880175005354e-12	1.367341599122576e-12	1.3673979549668587e-12
1.122018454301963e-7	4.7983681662133e-12	1.926035600554465e-12	1.3032028106584934e-12	1.3032603419033736e-12
1.1481536214968817e-7	4.4780977279259406e-12	1.8406148919979337e-12	1.2412329822051523e-12	1.2412916731184614e-12
1.1748975549395303e-7	4.179203963976098e-12	1.7579274687768574e-12	1.1814215886674913e-12	1.181481422129222e-12
1.2022644346174132e-7	3.900260073288532e-12	1.6779655684810135e-12	1.1237518734966285e-12	1.123812830989066e-12
1.2302687708123812e-7	3.639934487623315e-12	1.600713150091403e-12	1.0682015969964954e-12	1.068263658600064e-12
1.2589254117941662e-7	3.396984515193756e-12	1.5261468637459393e-12	1.0147437192623446e-12	1.0148068636579184e-12
1.2882495516931348e-7	3.1702504085453408e-12	1.454236936515581e-12	9.633470228187153e-13	9.6341122729721e-13
1.3182567385564074e-7	2.9586498283783607e-12	1.3849479806748879e-12	9.13976679654389e-13	9.140419201345233e-13
1.3489628825916533e-7	2.761172676886389e-12	1.3182397304782545e-12	8.6659476700768e-13	8.666610180628793e-13
1.380384264602884e-7	2.576876275947366e-12	1.2540677130140956e-12	8.211607359358729e-13	8.212279708313704e-13
1.4125375446227555e-7	2.4048808671496027e-12	1.1923838583008704e-12	7.776318364054137e-13	7.777000271467013e-13
1.445439770745928e-7	2.2443654121717675e-12	1.1331370534096963e-12	7.359635023636032e-13	7.360326197574808e-13
1.479108388168207e-7	2.0945636734693164e-12	1.076273645045752e-12	6.961096999961053e-13	6.961797137256882e-13
1.5135612484362072e-7	1.9547605565583867e-12	1.0217378946934484e-12	6.58023242136615e-13	6.580941208517755e-13
1.5488166189124826e-7	1.8242886964364265e-12	9.694723901260424e-13	6.216560715738017e-13	6.217277829986447e-13
1.584893192461114e-7	1.7025252718446334e-12	9.194184167980571e-13	5.869595157954389e-13	5.870320268545479e-13
1.6218100973589298e-7	1.5888890321645727e-12	8.715150747998283e-13	5.539392200782017e-13	5.540125042807564e-13
1.6595869074375596e-7	1.4828375227567586e-12	8.257033857755543e-13	5.22484341427092e-13	5.225583646110397e-13
1.6982436524617461e-7	1.383864495495894e-12	7.819226598981077e-13	4.92543073165728e-13	4.926178003922636e-13
1.7378008287493765e-7	1.291497492141803e-12	7.401120425401992e-13	4.640641506662129e-13	4.641395463737398e-13
1.7782794100389227e-7	1.2052955890098684e-12	7.002107301130316e-13	4.3699695880722413e-13	4.3707298698866686e-13
1.8197008586099824e-7	1.124847292175104e-12	6.621581619355533e-13	4.1129162551266355e-13	4.11368249918387e-13
1.8620871366628656e-7	1.0497685731622665e-12	6.258941901723538e-13	3.8689910260999443e-13	3.869762869787639e-13
1.9054607179632483e-7	9.797010357452013e-13	5.91359229722372e-13	3.6377123515062246e-13	3.6384894347123883e-13
1.9498445997580455e-7	9.143102051044771e-13	5.584943897959689e-13	3.4186082024496976e-13	3.4193901705142353e-13
1.9952623149688787e-7	8.532839311763339e-13	5.272415887837351e-13	3.2112165638173613e-13	3.2120030708495054e-13
2.0417379446695275e-7	7.963308985712782e-13	4.976687603460013e-13	3.0163914520916076e-13	3.0171825070855577e-13
2.0892961308540409e-7	7.431792359491743e-13	4.695788470536849e-13	2.832221806967263e-13	2.8330170953671365e-13
2.1379620895022324e-7	6.935752182125896e-13	4.429108717926454e-13	2.6582165672536487e-13	2.659015772670379e-13
